11124;ELK 334E;Özgür  Üstün;40;['Salý '];['1230/1529 '];['5305 '];['ELK', ' ELKE', ' KOM', ' KOME'];['EEB']
11125;ELK 343;***;35;['Çarþamba '];['0830/1129 '];['5307 '];ELK;['EEB']
11126;ELK 343;***;35;['Çarþamba '];['0830/1129 '];['2102 '];ELK;['EEB']
11127;ELK 343E;***;35;['Çarþamba '];['0830/1129 '];['5301 '];['ELK', ' ELKE'];['EEB']
11128;ELK 344;Belgin  Türkay;40;['Pazartesi '];['1230/1529 '];['5207 '];['ELK', ' KOM'];['EEB']
11130;ELK 361;Ali Sinan Çabuk;35;['Perþembe '];['0830/1029 '];['6307 '];ELK;['EEB']
11129;ELK 361;Ali Sinan Çabuk;35;['Cuma '];['1030/1229 '];['5307 '];ELK;['EEB']
11131;ELK 361E;Ali Sinan Çabuk;35;['Perþembe '];['1030/1229 '];['6307 '];['ELK', ' ELKE'];['EEB']
11132;ELK 361E;Ali Sinan Çabuk;35;['Cuma '];['0830/1029 '];['5307 '];['ELK', ' ELKE'];['EEB']
11133;ELK 371;***;45;['Salý '];['1230/1529 '];['5303 '];ELK;['EEB']
11134;ELK 371;***;45;['Salý '];['1230/1529 '];['5201 '];ELK;['EEB']
11135;ELK 371E;***;45;['Salý '];['1230/1529 '];['5107 '];ELKE;['EEB']
11137;ELK 411;Þükran Emel Önal;30;['Salý '];['1230/1529 '];['5105 '];ELK;['EEB']
11136;ELK 411;Özcan  Kalenderli;30;['Perþembe '];['1230/1529 '];['5107 '];ELK;['EEB']
11139;ELK 411E;Suat  Ýlhan;30;['Çarþamba '];['1230/1529 '];['5101 '];ELKE;['EEB']
11138;ELK 411E;Aydoðan  Özdemir;30;['Cuma '];['0830/1129 '];['5305 '];ELKE;['EEB']
11140;ELK 415E;Ömer  Usta;40;['Çarþamba '];['0830/1129 '];['5201 '];['ELK', ' ELKE'];['EEB']
11141;ELK 421;***;35;['Salý '];['0830/1129 '];['5303 '];ELK;['EEB']
11142;ELK 421;***;35;['Salý '];['0830/1129 '];['5301 '];ELK;['EEB']
11143;ELK 421;***;35;['Salý '];['0830/1129 '];['5201 '];ELK;['EEB']
11144;ELK 421E;***;35;['Salý '];['0830/1129 '];['5107 '];ELKE;['EEB']
